/home/yos/miniconda3/envs/rl_hw4_atari/lib/python3.8/site-packages/wandb/sdk/lib/import_hooks.py:243: DeprecationWarning: Deprecated since Python 3.4. Use importlib.util.find_spec() instead.
  loader = importlib.find_loader(fullname, path)
global_step=22094, episodic_return=[950.]
global_step=22185, episodic_return=[550.]
global_step=22269, episodic_return=[300.]
global_step=22313, episodic_return=[100.]
global_step=22358, episodic_return=[50.]
global_step=22402, episodic_return=[50.]
global_step=22465, episodic_return=[150.]
global_step=22526, episodic_return=[200.]
global_step=22587, episodic_return=[200.]
global_step=22647, episodic_return=[150.]
global_step=22759, episodic_return=[600.]
global_step=22802, episodic_return=[100.]
global_step=22845, episodic_return=[50.]
global_step=22892, episodic_return=[50.]
global_step=22942, episodic_return=[200.]
global_step=22989, episodic_return=[200.]
global_step=23070, episodic_return=[400.]
global_step=23143, episodic_return=[400.]
global_step=23185, episodic_return=[50.]
global_step=23250, episodic_return=[100.]
global_step=23307, episodic_return=[100.]
global_step=23352, episodic_return=[50.]
global_step=23452, episodic_return=[600.]
global_step=23529, episodic_return=[350.]
global_step=23579, episodic_return=[250.]
global_step=23621, episodic_return=[100.]
global_step=23669, episodic_return=[50.]
global_step=23717, episodic_return=[100.]
global_step=23764, episodic_return=[50.]
global_step=23808, episodic_return=[50.]
global_step=23874, episodic_return=[100.]
global_step=23924, episodic_return=[300.]
global_step=24030, episodic_return=[500.]
global_step=24076, episodic_return=[150.]
global_step=24138, episodic_return=[250.]
global_step=24217, episodic_return=[350.]
global_step=24264, episodic_return=[100.]
global_step=24309, episodic_return=[100.]
global_step=24356, episodic_return=[150.]
global_step=24406, episodic_return=[100.]
global_step=24471, episodic_return=[200.]
global_step=24530, episodic_return=[200.]
global_step=24585, episodic_return=[150.]
global_step=24675, episodic_return=[350.]
global_step=24722, episodic_return=[50.]
global_step=24797, episodic_return=[350.]
global_step=24858, episodic_return=[250.]
global_step=24904, episodic_return=[100.]
global_step=24975, episodic_return=[300.]
global_step=25017, episodic_return=[100.]
global_step=25074, episodic_return=[350.]
global_step=25129, episodic_return=[100.]
global_step=25190, episodic_return=[300.]
global_step=25245, episodic_return=[100.]
global_step=25290, episodic_return=[50.]
global_step=25348, episodic_return=[300.]
global_step=25405, episodic_return=[250.]
global_step=25448, episodic_return=[150.]
global_step=25500, episodic_return=[100.]
global_step=25561, episodic_return=[150.]
global_step=25645, episodic_return=[550.]
global_step=25691, episodic_return=[150.]
global_step=25747, episodic_return=[250.]
global_step=25809, episodic_return=[150.]
global_step=25870, episodic_return=[500.]
global_step=25930, episodic_return=[200.]
global_step=25982, episodic_return=[100.]
global_step=26037, episodic_return=[300.]
global_step=26086, episodic_return=[100.]
global_step=26150, episodic_return=[250.]
global_step=26195, episodic_return=[150.]
global_step=26284, episodic_return=[350.]
global_step=26339, episodic_return=[150.]
global_step=26406, episodic_return=[300.]
global_step=26457, episodic_return=[50.]
global_step=26512, episodic_return=[150.]
global_step=26588, episodic_return=[350.]
global_step=26635, episodic_return=[100.]
global_step=26738, episodic_return=[600.]
global_step=26827, episodic_return=[450.]
global_step=26876, episodic_return=[50.]
global_step=26956, episodic_return=[450.]
global_step=27008, episodic_return=[300.]
global_step=27063, episodic_return=[400.]
global_step=27119, episodic_return=[100.]
global_step=27198, episodic_return=[350.]
global_step=27256, episodic_return=[200.]
global_step=27303, episodic_return=[150.]
global_step=27346, episodic_return=[150.]
global_step=27390, episodic_return=[50.]
global_step=27439, episodic_return=[50.]
global_step=27499, episodic_return=[250.]
