/home/yos/miniconda3/envs/rl_hw4_atari/lib/python3.8/site-packages/wandb/sdk/lib/import_hooks.py:243: DeprecationWarning: Deprecated since Python 3.4. Use importlib.util.find_spec() instead.
  loader = importlib.find_loader(fullname, path)
global_step=19315, episodic_return=[300.]
global_step=19359, episodic_return=[50.]
global_step=19405, episodic_return=[50.]
global_step=19467, episodic_return=[200.]
global_step=19556, episodic_return=[350.]
global_step=19610, episodic_return=[250.]
global_step=19699, episodic_return=[200.]
global_step=19743, episodic_return=[100.]
global_step=19801, episodic_return=[300.]
global_step=19861, episodic_return=[250.]
global_step=19923, episodic_return=[250.]
global_step=19970, episodic_return=[200.]
global_step=20014, episodic_return=[50.]
global_step=20060, episodic_return=[100.]
global_step=20155, episodic_return=[400.]
global_step=20198, episodic_return=[50.]
global_step=20247, episodic_return=[200.]
global_step=20294, episodic_return=[100.]
global_step=20373, episodic_return=[350.]
global_step=20451, episodic_return=[350.]
global_step=20509, episodic_return=[200.]
global_step=20551, episodic_return=[50.]
global_step=20624, episodic_return=[300.]
global_step=20676, episodic_return=[100.]
global_step=20721, episodic_return=[150.]
global_step=20763, episodic_return=[50.]
global_step=20839, episodic_return=[400.]
global_step=20963, episodic_return=[550.]
global_step=21036, episodic_return=[350.]
global_step=21087, episodic_return=[150.]
global_step=21166, episodic_return=[450.]
global_step=21243, episodic_return=[350.]
global_step=21321, episodic_return=[300.]
global_step=21405, episodic_return=[300.]
global_step=21460, episodic_return=[150.]
global_step=21506, episodic_return=[100.]
global_step=21575, episodic_return=[200.]
global_step=21620, episodic_return=[50.]
global_step=21698, episodic_return=[400.]
global_step=21748, episodic_return=[100.]
global_step=21808, episodic_return=[200.]
global_step=21857, episodic_return=[50.]
global_step=21913, episodic_return=[100.]
global_step=21983, episodic_return=[100.]
global_step=22026, episodic_return=[100.]
global_step=22148, episodic_return=[750.]
global_step=22206, episodic_return=[250.]
global_step=22265, episodic_return=[350.]
global_step=22324, episodic_return=[150.]
global_step=22377, episodic_return=[150.]
global_step=22443, episodic_return=[250.]
global_step=22566, episodic_return=[500.]
global_step=22620, episodic_return=[50.]
global_step=22669, episodic_return=[50.]
global_step=22762, episodic_return=[500.]
global_step=22832, episodic_return=[250.]
global_step=22894, episodic_return=[300.]
global_step=22965, episodic_return=[250.]
global_step=23019, episodic_return=[50.]
global_step=23081, episodic_return=[200.]
global_step=23148, episodic_return=[100.]
global_step=23220, episodic_return=[300.]
global_step=23282, episodic_return=[200.]
global_step=23326, episodic_return=[150.]
global_step=23384, episodic_return=[250.]
global_step=23450, episodic_return=[100.]
global_step=23559, episodic_return=[550.]
global_step=23623, episodic_return=[250.]
global_step=23688, episodic_return=[200.]
global_step=23737, episodic_return=[100.]
global_step=23790, episodic_return=[100.]
global_step=23865, episodic_return=[250.]
global_step=23915, episodic_return=[150.]
global_step=24005, episodic_return=[450.]
global_step=24092, episodic_return=[400.]
global_step=24137, episodic_return=[100.]
global_step=24215, episodic_return=[100.]
global_step=24290, episodic_return=[450.]
global_step=24354, episodic_return=[300.]
global_step=24407, episodic_return=[150.]
global_step=24447, episodic_return=[100.]
global_step=24497, episodic_return=[50.]
global_step=24545, episodic_return=[100.]
global_step=24609, episodic_return=[200.]
global_step=24654, episodic_return=[50.]
global_step=24739, episodic_return=[350.]
global_step=24782, episodic_return=[50.]
global_step=24824, episodic_return=[50.]
global_step=24890, episodic_return=[200.]
global_step=24934, episodic_return=[150.]
global_step=24984, episodic_return=[50.]
global_step=25046, episodic_return=[100.]
global_step=25101, episodic_return=[200.]
global_step=25152, episodic_return=[200.]
global_step=25205, episodic_return=[250.]
global_step=25273, episodic_return=[300.]
global_step=25318, episodic_return=[100.]
global_step=25379, episodic_return=[250.]
global_step=25470, episodic_return=[350.]
global_step=25534, episodic_return=[300.]
