/home/yos/miniconda3/envs/rl_hw4_atari/lib/python3.8/site-packages/wandb/sdk/lib/import_hooks.py:243: DeprecationWarning: Deprecated since Python 3.4. Use importlib.util.find_spec() instead.
  loader = importlib.find_loader(fullname, path)
global_step=30248, episodic_return=[150.]
global_step=30337, episodic_return=[250.]
global_step=30401, episodic_return=[400.]
global_step=30475, episodic_return=[150.]
global_step=30541, episodic_return=[450.]
global_step=30586, episodic_return=[50.]
global_step=30660, episodic_return=[400.]
global_step=30748, episodic_return=[550.]
global_step=30814, episodic_return=[400.]
global_step=30885, episodic_return=[300.]
global_step=30942, episodic_return=[200.]
global_step=31000, episodic_return=[150.]
global_step=31085, episodic_return=[500.]
global_step=31130, episodic_return=[150.]
global_step=31186, episodic_return=[50.]
global_step=31271, episodic_return=[650.]
global_step=31327, episodic_return=[150.]
global_step=31374, episodic_return=[50.]
global_step=31486, episodic_return=[550.]
global_step=31533, episodic_return=[100.]
global_step=31620, episodic_return=[350.]
global_step=31669, episodic_return=[150.]
global_step=31732, episodic_return=[200.]
global_step=31786, episodic_return=[100.]
global_step=31849, episodic_return=[250.]
global_step=31908, episodic_return=[350.]
global_step=31968, episodic_return=[400.]
global_step=32030, episodic_return=[250.]
global_step=32111, episodic_return=[600.]
global_step=32161, episodic_return=[150.]
global_step=32215, episodic_return=[200.]
global_step=32271, episodic_return=[150.]
global_step=32340, episodic_return=[350.]
global_step=32412, episodic_return=[300.]
global_step=32484, episodic_return=[350.]
global_step=32555, episodic_return=[400.]
global_step=32606, episodic_return=[100.]
global_step=32700, episodic_return=[400.]
global_step=32747, episodic_return=[50.]
global_step=32814, episodic_return=[300.]
global_step=32872, episodic_return=[150.]
global_step=32920, episodic_return=[150.]
global_step=32983, episodic_return=[150.]
global_step=33059, episodic_return=[400.]
global_step=33140, episodic_return=[350.]
global_step=33211, episodic_return=[400.]
global_step=33265, episodic_return=[200.]
global_step=33323, episodic_return=[200.]
global_step=33382, episodic_return=[300.]
global_step=33448, episodic_return=[300.]
global_step=33494, episodic_return=[100.]
global_step=33627, episodic_return=[850.]
global_step=33677, episodic_return=[50.]
global_step=33727, episodic_return=[150.]
global_step=33773, episodic_return=[50.]
global_step=33863, episodic_return=[400.]
global_step=33927, episodic_return=[250.]
global_step=33974, episodic_return=[50.]
global_step=34022, episodic_return=[200.]
global_step=34101, episodic_return=[300.]
global_step=34144, episodic_return=[100.]
global_step=34198, episodic_return=[150.]
global_step=34276, episodic_return=[200.]
global_step=34334, episodic_return=[200.]
global_step=34438, episodic_return=[450.]
global_step=34481, episodic_return=[50.]
global_step=34541, episodic_return=[300.]
global_step=34595, episodic_return=[300.]
global_step=34640, episodic_return=[150.]
global_step=34718, episodic_return=[500.]
global_step=34755, episodic_return=[50.]
global_step=34801, episodic_return=[250.]
global_step=34856, episodic_return=[100.]
global_step=34939, episodic_return=[500.]
global_step=34987, episodic_return=[200.]
global_step=35033, episodic_return=[50.]
global_step=35083, episodic_return=[200.]
global_step=35138, episodic_return=[250.]
global_step=35180, episodic_return=[200.]
global_step=35223, episodic_return=[50.]
global_step=35283, episodic_return=[300.]
global_step=35368, episodic_return=[500.]
global_step=35429, episodic_return=[250.]
global_step=35499, episodic_return=[300.]
global_step=35561, episodic_return=[250.]
global_step=35641, episodic_return=[250.]
global_step=35703, episodic_return=[300.]
global_step=35775, episodic_return=[450.]
global_step=35818, episodic_return=[150.]
global_step=35882, episodic_return=[300.]
global_step=35954, episodic_return=[300.]
global_step=36040, episodic_return=[400.]
global_step=36089, episodic_return=[100.]
global_step=36155, episodic_return=[100.]
global_step=36207, episodic_return=[300.]
global_step=36257, episodic_return=[200.]
global_step=36333, episodic_return=[400.]
global_step=36448, episodic_return=[750.]
global_step=36496, episodic_return=[150.]
global_step=36564, episodic_return=[150.]
global_step=36611, episodic_return=[100.]
global_step=36704, episodic_return=[500.]
global_step=36780, episodic_return=[300.]
global_step=36863, episodic_return=[250.]
