/home/yos/miniconda3/envs/rl_hw4_atari/lib/python3.8/site-packages/wandb/sdk/lib/import_hooks.py:243: DeprecationWarning: Deprecated since Python 3.4. Use importlib.util.find_spec() instead.
  loader = importlib.find_loader(fullname, path)
global_step=14471, episodic_return=[0.]
global_step=14529, episodic_return=[3.]
global_step=14554, episodic_return=[0.]
global_step=14593, episodic_return=[2.]
global_step=14632, episodic_return=[2.]
global_step=14657, episodic_return=[0.]
global_step=14680, episodic_return=[0.]
global_step=14753, episodic_return=[5.]
global_step=14806, episodic_return=[3.]
global_step=14831, episodic_return=[0.]
global_step=14854, episodic_return=[0.]
global_step=14879, episodic_return=[0.]
global_step=14904, episodic_return=[0.]
global_step=14959, episodic_return=[3.]
global_step=15013, episodic_return=[3.]
global_step=15064, episodic_return=[3.]
global_step=15110, episodic_return=[2.]
global_step=15163, episodic_return=[3.]
global_step=15214, episodic_return=[3.]
global_step=15248, episodic_return=[1.]
global_step=15293, episodic_return=[2.]
global_step=15334, episodic_return=[2.]
global_step=15378, episodic_return=[2.]
global_step=15429, episodic_return=[3.]
global_step=15500, episodic_return=[5.]
global_step=15554, episodic_return=[3.]
global_step=15607, episodic_return=[3.]
global_step=15632, episodic_return=[0.]
global_step=15662, episodic_return=[1.]
global_step=15733, episodic_return=[4.]
global_step=15775, episodic_return=[2.]
global_step=15798, episodic_return=[0.]
global_step=15834, episodic_return=[1.]
global_step=15892, episodic_return=[4.]
global_step=15917, episodic_return=[0.]
global_step=15960, episodic_return=[2.]
global_step=16008, episodic_return=[2.]
global_step=16031, episodic_return=[0.]
global_step=16085, episodic_return=[3.]
global_step=16108, episodic_return=[0.]
global_step=16164, episodic_return=[3.]
global_step=16219, episodic_return=[3.]
global_step=16288, episodic_return=[4.]
global_step=16335, episodic_return=[2.]
global_step=16376, episodic_return=[2.]
global_step=16421, episodic_return=[2.]
global_step=16467, episodic_return=[2.]
global_step=16503, episodic_return=[1.]
global_step=16544, episodic_return=[2.]
global_step=16587, episodic_return=[2.]
global_step=16638, episodic_return=[3.]
global_step=16670, episodic_return=[1.]
global_step=16729, episodic_return=[3.]
global_step=16770, episodic_return=[2.]
global_step=16811, episodic_return=[2.]
global_step=16836, episodic_return=[0.]
global_step=16889, episodic_return=[3.]
global_step=16947, episodic_return=[4.]
global_step=16972, episodic_return=[0.]
global_step=16995, episodic_return=[0.]
global_step=17040, episodic_return=[2.]
global_step=17097, episodic_return=[3.]
global_step=17157, episodic_return=[3.]
global_step=17198, episodic_return=[2.]
global_step=17253, episodic_return=[3.]
global_step=17323, episodic_return=[4.]
global_step=17346, episodic_return=[0.]
global_step=17378, episodic_return=[1.]
global_step=17401, episodic_return=[0.]
global_step=17433, episodic_return=[1.]
global_step=17467, episodic_return=[1.]
global_step=17520, episodic_return=[3.]
global_step=17561, episodic_return=[2.]
global_step=17609, episodic_return=[3.]
global_step=17652, episodic_return=[2.]
global_step=17695, episodic_return=[2.]
global_step=17727, episodic_return=[1.]
global_step=17750, episodic_return=[0.]
global_step=17782, episodic_return=[1.]
global_step=17838, episodic_return=[3.]
global_step=17877, episodic_return=[2.]
global_step=17911, episodic_return=[1.]
global_step=17954, episodic_return=[2.]
